"id","name","code","user_type_id/id","chart_template_id/id","reconcile"
"ec51040308","VEHICULOS, EQUIPOS DE TRANSPORTE Y EQUIPO CAMINERO MOVIL","51040308","account.data_account_type_direct_costs","l10n_ec_ja_ifrs","False"
"ec51040309","OTROS PROPIEDADES, PLANTA Y EQUIPO","51040309","account.data_account_type_direct_costs","l10n_ec_ja_ifrs","False"
"ec51040310","REPUESTOS Y HERRAMIENTAS","51040310","account.data_account_type_direct_costs","l10n_ec_ja_ifrs","False"
"ec510404","EFECTO VALOR NETO DE REALIZACION DE INVENTARIOS","510404","account.data_account_type_direct_costs","l10n_ec_ja_ifrs","False"
"ec510405","GASTO POR GARANTIAS EN VENTA DE PRODUCTOS O SERVICIOS","510405","account.data_account_type_direct_costs","l10n_ec_ja_ifrs","False"
"ec510406","MANTENIMIENTO Y REPARACIONES","510406","account.data_account_type_direct_costs","l10n_ec_ja_ifrs","False"
"ec510407","SUMINISTROS MATERIALES Y REPUESTOS","510407","account.data_account_type_direct_costs","l10n_ec_ja_ifrs","False"
"ec51040801","OTROS COSTOS DE PRODUCCION","51040801","account.data_account_type_direct_costs","l10n_ec_ja_ifrs","False"
"ec52010101","SUELDOS, SALARIOS Y DEMAS REMUNERACIONES","52010101","account.data_account_type_expenses","l10n_ec_ja_ifrs","False"
"ec52010102","HORAS EXTRA","52010102","account.data_account_type_expenses","l10n_ec_ja_ifrs","False"
"ec52010103","BONIFICACIONES POR DESEMPEÑO","52010103","account.data_account_type_expenses","l10n_ec_ja_ifrs","False"
"ec52010201","APORTE PATRONAL","52010201","account.data_account_type_expenses","l10n_ec_ja_ifrs","False"
"ec52010202","FONDOS DE RESERVA","52010202","account.data_account_type_expenses","l10n_ec_ja_ifrs","False"
"ec52010301","DECIMO TERCER SUELDO","52010301","account.data_account_type_expenses","l10n_ec_ja_ifrs","False"
"ec52010302","DECIMO CUARTO SUELDO","52010302","account.data_account_type_expenses","l10n_ec_ja_ifrs","False"
"ec52010303","VACACIONES","52010303","account.data_account_type_expenses","l10n_ec_ja_ifrs","False"
"ec52010304","DESPICO INTEMPESTIVO ","52010304","account.data_account_type_expenses","l10n_ec_ja_ifrs","False"
"ec52010305","DESAHUCIO","52010305","account.data_account_type_expenses","l10n_ec_ja_ifrs","False"
"ec52010306","OTROS BENEFICIOS E INDEMNIZACIONES","52010306","account.data_account_type_expenses","l10n_ec_ja_ifrs","False"
"ec52010401","SEGURO MEDICO ","52010401","account.data_account_type_expenses","l10n_ec_ja_ifrs","False"
"ec52010402","CAPACITACION","52010402","account.data_account_type_expenses","l10n_ec_ja_ifrs","False"
"ec52010403","UNIFORMES","52010403","account.data_account_type_expenses","l10n_ec_ja_ifrs","False"
"ec52010404","ALIMENTACION","52010404","account.data_account_type_expenses","l10n_ec_ja_ifrs","False"
"ec5201040501","IMPUESTO A LA RENTA EMPLEADOS ASUMIDO POR LA EMPRESA","5201040501","account.data_account_type_direct_costs","l10n_ec_ja_ifrs","False"
"ec5201040502","TRANSPORTE","5201040502","account.data_account_type_direct_costs","l10n_ec_ja_ifrs","False"
"ec520105","HONORARIOS, COMISIONES Y DIETAS A PERSONAS NATURALES","520105","account.data_account_type_expenses","l10n_ec_ja_ifrs","False"
"ec520106","REMUNERACIONES A OTROS TRABAJADORES AUTONOMOS","520106","account.data_account_type_expenses","l10n_ec_ja_ifrs","False"
"ec520107","HONORARIOS A EXTRANJEROS POR SERVICIOS OCASIONALES","520107","account.data_account_type_expenses","l10n_ec_ja_ifrs","False"
"ec520108","MANTENIMIENTO Y REPARACIONES","520108","account.data_account_type_expenses","l10n_ec_ja_ifrs","False"
"ec520109","ARRENDAMIENTO OPERATIVO","520109","account.data_account_type_expenses","l10n_ec_ja_ifrs","False"
"ec520110","COMISIONES","520110","account.data_account_type_expenses","l10n_ec_ja_ifrs","False"
"ec520111","PROMOCION Y PUBLICIDAD","520111","account.data_account_type_expenses","l10n_ec_ja_ifrs","False"
"ec520112","COMBUSTIBLES","520112","account.data_account_type_expenses","l10n_ec_ja_ifrs","False"
"ec520113","LUBRICANTES","520113","account.data_account_type_expenses","l10n_ec_ja_ifrs","False"
"ec520114","SEGUROS Y REASEGUROS (primas y cesiones)","520114","account.data_account_type_expenses","l10n_ec_ja_ifrs","False"
"ec520115","TRANSPORTE","520115","account.data_account_type_expenses","l10n_ec_ja_ifrs","False"
"ec520116","GASTOS DE GESTION (agasajos a accionistas, trabajadores y clientes)","520116","account.data_account_type_expenses","l10n_ec_ja_ifrs","False"
"ec520117","GASTOS DE VIAJE","520117","account.data_account_type_expenses","l10n_ec_ja_ifrs","False"
"ec52011801","AGUA POTABLE","52011801","account.data_account_type_expenses","l10n_ec_ja_ifrs","False"
"ec52011802","ENERGIA ELECTRICA","52011802","account.data_account_type_expenses","l10n_ec_ja_ifrs","False"
"ec52011803","TELEFONIA FIJA","52011803","account.data_account_type_expenses","l10n_ec_ja_ifrs","False"
"ec52011804","TELEFONIA MOVIL","52011804","account.data_account_type_expenses","l10n_ec_ja_ifrs","False"
